timestamp,ip,inputType,status,reason,behaviorType,verticalScore,verticalCount,totalVerticalMovement,avgSpeed,stdSpeed,accelerationChanges,maxSpeed,lastSpeed,speedStability,movementTime,speedSeries,decelerationRate,speedVariance,mlScore,pageUrl,userAgent,boxIndexes,attemptId
"2025-05-25T14:42:07","::ffff:127.0.0.1","touch","accepted","","human",164.01,50,262.40,1.90,1.61,1,,,,338,"5.14;3.50;3.21;2.75;1.72;1.21;1.01;0.28;0.03;0.18",1.00,2.58,1.00,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"aaff5a9f-65f8-4e97-a404-9ccc5b1405b0"
"2025-05-25T14:42:15","::ffff:127.0.0.1","touch","accepted","","human",28.82,26,42.88,1.29,0.80,2,,,,415,"2.56;2.40;2.17;1.60;1.21;0.96;0.82;0.49;0.51;0.24",1.00,0.64,1.00,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"0eb3702b-b79a-4ddb-a978-f9d6d3f87afd"
"2025-05-25T14:42:23","::ffff:127.0.0.1","touch","accepted","","human",71.93,27,113.28,0.40,0.40,3,,,,450,"1.28;0.96;0.56;0.40;0.24;0.16;0.01;0.08;0.08;0.25",1.00,0.16,1.00,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"41113b14-24c5-4898-aeb5-7e3ea42077ba"
"2025-05-25T14:42:30","::ffff:127.0.0.1","touch","accepted","","human",161.00,17,257.92,1.24,1.02,1,,,,232,"3.12;2.80;2.06;1.46;0.64;0.24;0.12;0.48;0.64;0.80",1.00,1.04,0.99,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"639e5735-c663-45eb-97a8-e60bee6d6c15"
"2025-05-25T14:47:26","::ffff:127.0.0.1","touch","accepted","","human",78.28,35,122.88,1.54,0.96,0,,,,289,"3.39;2.59;2.25;1.93;1.60;1.36;0.96;0.64;0.47;0.24",0.67,0.92,0.99,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"97862212-a6c4-4fc0-9eda-c399ee7e762a"
"2025-05-25T14:47:44","::ffff:127.0.0.1","touch","accepted","","human",10.27,20,13.44,0.17,0.07,6,,,,958,"0.24;0.24;0.16;0.24;0.16;0.24;0.11;0.14;0.09;0.04",0.68,0.00,1.00,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"1613c79b-b3c8-4e8b-8199-7afcf1650fc9"
"2025-05-25T14:47:57","::ffff:127.0.0.1","touch","accepted","","human",217.78,38,352.00,1.59,1.56,0,,,,302,"4.91;3.54;2.64;1.76;1.36;0.80;0.56;0.16;0.11;0.05",0.85,2.43,1.00,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"bb707bc3-9582-43a7-a72c-103e953cbdc2"
"2025-05-25T14:48:10","::ffff:127.0.0.1","touch","accepted","","human",107.08,46,168.96,3.49,3.37,0,,,,323,"10.33;8.01;6.00;3.63;3.20;1.92;1.20;0.49;0.16;0.01",0.99,11.35,0.99,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"5e262893-29b7-4616-925a-45d303b6912b"
"2025-05-25T14:48:37","::ffff:127.0.0.1","mouse","accepted","","human",,,,1.37,0.49,2,3.00,1.00,0.49,193,"2.00;1.00;1.00;2.00;1.00;1.00;1.00;1.41;2.24;1.00",0.25,0.24,0.98,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",,"4b343e9b-b835-433c-a286-27ae4df2f0bb"
"2025-05-25T14:49:31","::ffff:127.0.0.1","touch","accepted","","human",24.32,15,36.80,1.78,1.08,2,,,,298,"3.20;3.00;3.20;2.22;2.11;1.43;1.22;0.73;0.36;0.30",0.63,1.16,0.99,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"35a8c99b-93d2-4b61-a61b-b8ab0dc49cfc"
"2025-05-25T14:49:38","::ffff:127.0.0.1","touch","accepted","","human",49.65,18,77.60,1.73,1.32,2,,,,338,"4.51;3.11;2.34;2.54;1.51;1.37;0.90;0.50;0.30;0.20",0.69,1.74,0.99,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"9f10ff09-a373-48f1-9146-ef79b32e5887"
"2025-05-25T14:50:12","::ffff:127.0.0.1","touch","accepted","","human",69.31,29,108.80,1.69,0.79,2,,,,420,"3.00;2.50;2.20;2.00;1.51;2.06;1.41;1.32;0.53;0.34",0.70,0.63,1.00,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"08f49d5f-f452-4615-9aba-7c0695e3e6d8"
"2025-05-25T14:50:28","::ffff:127.0.0.1","touch","accepted","","human",131.87,48,209.60,1.79,1.51,0,,,,482,"4.71;3.50;3.11;2.40;1.81;1.10;0.60;0.50;0.20;0.01",0.98,2.28,1.00,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36",,"8b86bbdf-4847-46ed-994a-264ed4d90b1c"
"2025-05-25T14:58:01","::ffff:127.0.0.1","mouse","accepted","","human",,,,1.17,0.38,3,10.00,1.00,0.38,620,"1.00;1.00;1.00;2.24;1.00;1.41;1.00;1.00;1.00;1.00",0.08,0.14,1.00,"http://127.0.0.1:5500/index.html","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",,"8ce7bdfe-1e0c-4afa-b810-8d069278cb7e"
